,Date,Symbol,Open,Close,Low,High,Volume
106360,2010-11-24,GOOGL,587.309998,594.969994,587.050004,596.600015,4788000
106830,2010-11-26,GOOGL,590.459982,589.999993,587.000005,592.979981,2619500
107300,2010-11-29,GOOGL,589.170013,582.110003,579.949995,589.799998,5713600
107770,2010-11-30,GOOGL,574.32001,555.710037,553.310035,574.32001,14220500
108240,2010-12-01,GOOGL,562.999981,564.350009,562.399996,571.570016,7500600
108710,2010-12-02,GOOGL,568.660026,571.82001,565.349985,573.330034,5090700
109180,2010-12-03,GOOGL,569.450007,572.999981,567.999981,576.480018,5257100
109650,2010-12-06,GOOGL,580.569979,578.360033,576.610015,582.000005,4183400
110120,2010-12-07,GOOGL,591.270023,587.140002,586.00003,592.999981,6078300
110590,2010-12-08,GOOGL,591.970006,590.53998,583.690025,592.519993,3510200
111060,2010-12-09,GOOGL,593.88002,591.500018,589.000018,595.579979,3734000
111530,2010-12-10,GOOGL,593.139978,592.21,590.289986,593.990018,3405900
112000,2010-12-13,GOOGL,597.120002,594.620002,594.090015,602.999981,4792200
112470,2010-12-14,GOOGL,597.090003,594.909995,592.479994,598.290035,3283300
112940,2010-12-15,GOOGL,594.200013,590.299986,589.150014,596.450019,4331000
113410,2010-12-16,GOOGL,592.849985,591.710012,588.069979,593.770023,3190600
113880,2010-12-17,GOOGL,591.00003,590.800035,587.669989,592.559992,6168000
114350,2010-12-20,GOOGL,594.650002,595.059992,588.660026,597.879984,3942600
114820,2010-12-21,GOOGL,598.570028,603.069979,597.60999,604.72,3755200
115290,2010-12-22,GOOGL,604.000017,605.489981,603.280035,607.000005,2412500
115760,2010-12-23,GOOGL,605.339985,604.230012,602.030005,606.00003,2219300
116230,2010-12-27,GOOGL,602.739987,602.379996,599.500005,603.780023,2413700
116700,2010-12-28,GOOGL,602.050004,598.920019,598.009981,603.870021,2127400
117170,2010-12-29,GOOGL,602.000005,601.00003,598.920019,602.409995,2036300
117640,2010-12-30,GOOGL,597.999981,598.860021,597.389996,601.330022,1977000
118110,2010-12-31,GOOGL,596.740012,593.970018,592.030005,598.420032,3075500
118580,2011-01-03,GOOGL,596.480018,604.350009,596.480018,605.589979,4725600
119050,2011-01-04,GOOGL,605.619978,602.120002,600.11999,606.180025,3645300
119520,2011-01-05,GOOGL,600.069991,609.070016,600.049992,610.329985,5059500
119990,2011-01-06,GOOGL,610.680037,613.50003,610.049992,618.430031,4111400
120460,2011-01-07,GOOGL,615.910032,616.440019,610.12999,618.250036,4198100
120930,2011-01-10,GOOGL,614.799998,614.210012,608.560028,615.389983,3155200
121400,2011-01-11,GOOGL,617.709988,616.010029,614.500005,618.800022,2875700
121870,2011-01-12,GOOGL,619.350009,616.870008,614.769999,619.350009,3262100
122340,2011-01-13,GOOGL,616.970006,616.690013,614.160013,619.670001,2665300
122810,2011-01-14,GOOGL,617.399995,624.180013,617.080003,624.270011,4726400
123280,2011-01-18,GOOGL,626.060028,639.630002,625.269986,641.990005,7226700
123750,2011-01-19,GOOGL,642.120002,631.750011,629.660001,642.959981,6805300
124220,2011-01-20,GOOGL,632.21,626.770011,623.290035,634.080015,10960600
124690,2011-01-21,GOOGL,639.580003,611.830009,611.360021,641.730011,17790900
125160,2011-01-24,GOOGL,607.569991,611.080028,601.230024,612.489993,9189200
125630,2011-01-25,GOOGL,608.200037,619.909995,606.520017,620.690037,7286300
126100,2011-01-26,GOOGL,620.329985,616.500017,615.279986,622.489993,4072100
126570,2011-01-27,GOOGL,617.889983,616.79001,613.250036,619.7,4034300
127040,2011-01-28,GOOGL,619.070016,600.99003,599.759999,620.359984,8453700
127510,2011-01-31,GOOGL,603.600027,600.359984,595.54998,604.470006,5604100
127980,2011-02-01,GOOGL,604.490005,611.040029,603.109978,613.350033,5485100
128450,2011-02-02,GOOGL,611.00003,612.000005,607.529992,614.340009,3517800
128920,2011-02-03,GOOGL,609.480006,610.149989,606.130026,611.450019,2987200
129390,2011-02-04,GOOGL,610.149989,610.98003,606.610015,611.440019,3098400
129860,2011-02-07,GOOGL,610.159989,614.29001,609.210012,618.390032,3595600
130330,2011-02-08,GOOGL,614.929995,618.380032,614.510005,619.630002,3386400
130800,2011-02-09,GOOGL,616.870008,616.500017,612.339997,619.450006,3681300
131270,2011-02-10,GOOGL,613.90002,616.440019,611.560016,617.499993,4664100
131740,2011-02-11,GOOGL,613.790022,624.500005,612.999981,624.999993,5174600
132210,2011-02-14,GOOGL,623.340033,628.150038,620.039992,629.640002,4251700
132680,2011-02-15,GOOGL,627.319997,624.150014,623.099978,630.089991,4179800
133150,2011-02-16,GOOGL,625.630038,624.220012,622.100003,626.500017,3364600
133620,2011-02-17,GOOGL,621.250023,625.259986,620.279986,627.249999,2954600
134090,2011-02-18,GOOGL,626.000029,630.079991,624.180013,631.180025,6429300
134560,2011-02-22,GOOGL,620.029992,610.209988,607.769986,624.929995,7272500
135030,2011-02-23,GOOGL,610.329985,611.320022,604.000017,614.7,5773400
135500,2011-02-24,GOOGL,611.39002,608.820022,601.350021,613.089979,5417900
135970,2011-02-25,GOOGL,611.860009,610.039992,609.500005,614.72,3860900
136440,2011-02-28,GOOGL,609.999993,613.400032,608.009981,616.490018,4558400
136910,2011-03-01,GOOGL,617.779986,600.760036,599.30001,619.220012,6639700
137380,2011-03-02,GOOGL,599.799998,600.790035,595.189989,606.00003,4049300
137850,2011-03-03,GOOGL,606.38002,609.560004,604.999993,611.490018,3886700
138320,2011-03-04,GOOGL,608.330034,600.619978,600.199988,608.980018,6015900
138790,2011-03-07,GOOGL,600.54998,591.660014,587.000005,603.690025,6918400
139260,2011-03-08,GOOGL,592.929983,592.309998,590.199988,597.979981,4565200
139730,2011-03-09,GOOGL,591.00003,591.770011,585.750036,594.510005,4297600
140200,2011-03-10,GOOGL,585.439983,580.299986,579.450007,586.620015,6249900
140670,2011-03-11,GOOGL,578.220037,576.710013,573.330034,579.999993,6057900
141140,2011-03-14,GOOGL,572.799986,569.989994,568.019981,578.290035,5626500
141610,2011-03-15,GOOGL,557.499994,569.560004,555.499981,571.00003,8003100
142080,2011-03-16,GOOGL,568.009981,557.100003,551.280023,569.789999,7589400
142550,2011-03-17,GOOGL,564.480006,561.360021,560.53998,569.000018,5792800
143020,2011-03-18,GOOGL,564.640002,561.060029,559.74,567.989982,6590600
143490,2011-03-21,GOOGL,570.219988,576.500018,569.020017,579.799998,6035700
143960,2011-03-22,GOOGL,577.269999,577.319998,572.509993,579.230012,3770000
144430,2011-03-23,GOOGL,575.189989,582.160002,572.000006,582.449995,3628700
144900,2011-03-24,GOOGL,585.429983,586.890008,578.800023,588.390032,4193200
145370,2011-03-25,GOOGL,586.880008,579.74,579.240012,586.910008,5711000
145840,2011-03-28,GOOGL,582.070004,575.359985,574.71,584.989994,4432300
146310,2011-03-29,GOOGL,576.00003,581.730012,573.009981,581.890008,3206300
146780,2011-03-30,GOOGL,584.380008,581.840009,580.579979,585.499981,2841700
147250,2011-03-31,GOOGL,582.999981,586.760011,581.740012,588.159977,4054700
147720,2011-04-01,GOOGL,588.760023,591.80001,588.760023,595.189989,5221100
148190,2011-04-04,GOOGL,592.999981,587.679989,583.099979,594.739999,4104800
148660,2011-04-05,GOOGL,581.080028,569.090016,565.679977,581.490018,12082900
149130,2011-04-06,GOOGL,572.180001,574.180013,567.999981,575.159989,5331200
149600,2011-04-07,GOOGL,575.730037,579.999993,574.190013,580.639978,5057900
150070,2011-04-08,GOOGL,584.889996,578.159977,578.05998,584.889996,3799700
150540,2011-04-11,GOOGL,576.200025,577.369997,572.999981,578.099979,3712600
151010,2011-04-12,GOOGL,574.999993,570.609979,568.04998,576.910008,4167000
151480,2011-04-13,GOOGL,575.509981,576.280023,571.750012,577.599991,4134600
151950,2011-04-14,GOOGL,575.189989,578.51003,572.100003,579.450007,10901600
152420,2011-04-15,GOOGL,545.289987,530.699977,530.059992,545.750036,28059300
152890,2011-04-18,GOOGL,526.42002,526.84001,519.000018,527.65999,10069500
