Date,Open,High,Low,Close,Adj Close,Volume
2015-08-25,50.880001,51.110001,48.840000,48.840000,46.818359,3335600
2015-08-26,50.130001,50.490002,48.200001,49.689999,47.633175,5780000
2015-08-27,50.240002,51.310001,50.240002,51.299999,49.176529,1794600
2015-08-28,51.110001,51.540001,51.009998,51.490002,49.358673,1276000
2015-08-31,51.130001,51.549999,51.009998,51.189999,49.071083,1383900
2015-09-01,50.090000,50.639999,49.820000,50.020000,47.949524,1604500
2015-09-02,50.630001,50.840000,50.080002,50.779999,48.678062,954800
2015-09-03,50.990002,51.750000,50.869999,51.150002,49.032738,766800
2015-09-04,50.689999,50.860001,50.040001,50.299999,48.217926,769400
2015-09-08,51.060001,51.980000,50.959999,51.959999,49.809212,821400
2015-09-09,52.410000,52.480000,50.810001,50.950001,49.077152,999400
2015-09-10,50.889999,51.549999,50.540001,51.330002,49.443188,719700
2015-09-11,51.180000,51.759998,50.910000,51.750000,49.847744,551500
2015-09-14,51.759998,51.820000,51.250000,51.369999,49.481709,886800
2015-09-15,51.720001,52.000000,51.439999,51.730000,49.828480,933100
2015-09-16,51.490002,51.910000,51.250000,51.840000,49.934441,1034900
2015-09-17,51.840000,52.180000,50.840000,50.950001,49.077152,1285100
2015-09-18,50.150002,50.650002,49.889999,50.470001,48.614796,1875200
2015-09-21,50.860001,51.209999,50.650002,51.169998,49.289059,1057800
2015-09-22,50.490002,51.049999,50.439999,51.040001,49.163845,1046400
2015-09-23,51.000000,52.099998,50.980000,51.980000,50.069286,990500
2015-09-24,51.610001,52.220001,51.419998,51.939999,50.030762,1512000
2015-09-25,52.450001,54.000000,51.959999,53.480000,51.514149,1070500
2015-09-28,53.299999,53.419998,52.000000,52.020000,50.107819,1028700
2015-09-29,52.029999,52.230000,51.419998,51.810001,49.905537,1318400
2015-09-30,52.430000,53.439999,52.130001,53.330002,51.369663,1308800
2015-10-01,53.459999,53.570000,51.980000,52.619999,50.685764,1266600
2015-10-02,51.669998,52.639999,50.980000,52.630001,50.695396,826500
2015-10-05,53.110001,53.700001,52.860001,53.650002,51.677906,651300
2015-10-06,53.590000,53.610001,52.919998,53.380001,51.417824,805100
2015-10-07,53.750000,53.990002,52.830002,53.259998,51.302235,883100
2015-10-08,53.160000,53.880001,52.750000,53.779999,51.803123,756500
2015-10-09,53.820000,53.990002,52.869999,53.090000,51.138489,536400
2015-10-12,53.180000,54.279999,52.840000,54.130001,52.140263,663400
2015-10-13,53.810001,54.360001,53.220001,53.610001,51.639366,1157700
2015-10-14,53.759998,54.200001,53.220001,53.669998,51.697166,726000
2015-10-15,53.820000,54.939999,53.700001,54.910000,52.891586,912000
2015-10-16,55.000000,55.189999,54.540001,54.970001,52.949387,894200
2015-10-19,54.770000,55.459999,54.750000,55.439999,53.402103,760400
2015-10-20,55.389999,56.020000,55.349998,55.830002,53.777767,606700
2015-10-21,56.049999,56.180000,55.240002,55.259998,53.228718,1048500
2015-10-22,55.330002,59.369999,55.330002,59.099998,56.927567,1644600
2015-10-23,59.119999,59.900002,57.849998,58.720001,56.561543,1807600
2015-10-26,58.930000,59.410000,57.970001,58.400002,56.253300,1277000
2015-10-27,58.160000,59.000000,57.730000,58.950001,56.783085,1398400
2015-10-28,58.970001,59.400002,58.840000,59.279999,57.100948,1085800
2015-10-29,59.020000,59.349998,58.759998,59.220001,57.043159,981000
2015-10-30,59.250000,59.400002,57.700001,57.889999,55.762047,1068400
2015-11-02,58.250000,59.680000,58.029999,59.669998,57.476612,1620100
2015-11-03,59.779999,59.980000,59.160000,59.299999,57.120216,788100
2015-11-04,59.250000,59.500000,58.009998,58.160000,56.022121,1358600
2015-11-05,58.150002,58.930000,58.070000,58.619999,56.465214,772200
2015-11-06,58.689999,59.349998,57.930000,58.240002,56.099182,1178400
2015-11-09,58.110001,58.189999,57.459999,57.680000,55.559761,965200
2015-11-10,57.470001,58.610001,57.240002,58.570000,56.417049,1313100
2015-11-11,58.490002,59.130001,57.820000,58.490002,56.340000,775900
2015-11-12,57.970001,58.320000,57.700001,57.709999,55.588665,955600
2015-11-13,57.340000,58.119999,56.270000,56.590000,54.509834,1612500
2015-11-16,56.410000,57.279999,56.189999,57.240002,55.135944,1213700
2015-11-17,57.119999,57.939999,57.009998,57.560001,55.444180,1402100
2015-11-18,57.590000,58.730000,57.459999,58.689999,56.532639,1402200
2015-11-19,58.279999,59.480000,58.279999,59.360001,57.178013,1225700
2015-11-20,59.360001,60.049999,59.299999,59.970001,57.765587,2787800
2015-11-23,59.790001,60.000000,59.139999,59.230000,57.052788,1186700
2015-11-24,58.619999,58.810001,58.020000,58.490002,56.340000,1233100
2015-11-25,58.490002,58.779999,58.330002,58.450001,56.301460,505500
2015-11-27,58.619999,58.910000,58.209999,58.869999,56.706020,239000
2015-11-30,58.939999,58.990002,58.220001,58.619999,56.465214,986800
2015-12-01,58.889999,59.189999,58.299999,58.720001,56.561543,891800
2015-12-02,58.930000,59.029999,58.340000,58.509998,56.359264,846300
2015-12-03,58.709999,58.709999,56.290001,56.980000,54.885498,1367200
2015-12-04,56.980000,59.090000,56.959999,58.939999,56.773449,948400
2015-12-07,58.700001,58.939999,57.310001,58.279999,56.137703,865400
2015-12-08,57.040001,58.099998,56.759998,57.919998,55.790947,1453800
2015-12-09,58.070000,58.130001,56.230000,56.459999,54.384613,1068400
2015-12-10,56.259998,56.560001,55.740002,55.959999,54.142723,1140400
2015-12-11,55.110001,55.669998,54.619999,54.860001,53.078449,1618300
2015-12-14,54.810001,56.119999,54.799999,56.080002,54.258835,1631600
2015-12-15,56.560001,57.209999,56.540001,56.770000,54.926422,1180400
2015-12-16,57.099998,57.290001,56.189999,56.889999,55.042530,1254500
2015-12-17,56.810001,57.389999,55.840000,56.080002,54.258835,866300
2015-12-18,56.049999,56.160000,55.610001,55.930000,54.113705,2284000
2015-12-21,56.490002,57.270000,55.990002,56.470001,54.636173,909700
2015-12-22,56.849998,58.130001,56.259998,58.009998,56.126156,1451000
